shape,fetch_rows,rows_total,total_ms,batch_p50_ms,us_per_row,client_cpu_over_wall
s14-warm,1000,2000,80.5,10.12,40.255,0.19
s14,500,100000,517.7,2.43,5.177,0.33
s14,1000,100000,463.8,4.44,4.638,0.61
s14,2000,100000,533.8,10.17,5.338,0.88
s14,4000,100000,632.3,23.40,6.323,0.89
s14,7000,100000,822.0,56.37,8.220,0.95
s14,10000,100000,1338.3,129.14,13.383,0.99
t5d2-warm,1000,2000,65.4,24.30,32.693,0.96
t5d2,500,20000,345.6,7.84,17.278,0.59
t5d2,1000,20000,472.8,22.39,23.638,0.99
t5d2,2000,20000,856.8,85.75,42.839,0.97
t5d2,4000,20000,1867.7,359.92,93.383,0.96
t5d2,7000,20000,3530.5,1228.40,176.523,0.98
t5d2,10000,20000,5824.5,2921.04,291.226,0.94
s14-sdu2m-warm,1000,2000,22.7,3.94,11.346,0.69
s14-sdu2m,1000,100000,404.6,3.83,4.046,0.54
s14-sdu2m,10000,100000,1543.1,161.88,15.431,0.92
t5d2-sdu2m-warm,1000,2000,48.7,21.77,24.341,0.96
t5d2-sdu2m,1000,20000,477.3,24.42,23.867,0.82
t5d2-sdu2m,10000,20000,6330.5,3167.53,316.525,0.93
wide-warm,10,20,43.5,7.41,2174.665,0.36
wide16k,50,50,81.6,69.97,1632.212,0.77
wide16k,100,100,249.4,226.88,2493.857,0.88
wide16k,250,250,1527.3,1502.95,6109.036,0.94
wide16k,500,500,4956.8,4939.13,9913.635,0.92
wide16k,1000,1000,23000.2,22979.41,23000.150,0.94
