shape,representation,rows,fetch_rows,total_ms,fetch_p50_us,fetch_p99_us,fetch_max_us,compaction_ms,accounted_bytes,repeat
s14,batches,1000000,1000,492.8,471.8,722.4,906.1,0.0,0,0
ids10,batches,1000000,1000,714.3,695.6,943.7,1026.8,0.0,0,0
s14,store,1000000,1000,558.8,460.8,825.6,861.6,44.4,73066000,0
ids10,store,1000000,1000,766.0,551.5,991.1,1085.6,156.0,82104000,0
s14,batches,1000000,1000,487.8,475.3,668.2,715.2,0.0,0,1
ids10,batches,1000000,1000,758.0,714.2,1044.5,1477.3,0.0,0,1
s14,store,1000000,1000,529.3,455.5,683.1,765.6,45.9,73066000,1
ids10,store,1000000,1000,717.6,547.5,759.7,944.0,149.5,82104000,1
s14,batches,1000000,1000,487.0,474.8,676.9,702.0,0.0,0,2
ids10,batches,1000000,1000,731.9,707.2,978.5,1146.0,0.0,0,2
s14,store,1000000,1000,501.4,435.3,653.4,965.6,44.5,73066000,2
ids10,store,1000000,1000,720.3,551.4,759.3,965.5,149.4,82104000,2
