shape,fetch_rows,repeat,rows,batches,execute_ms,first_batch_ms,batch_p50_ms,batch_p95_ms,batch_max_ms,total_ms,rows_per_s
s14,100,0,100000,1000,58.351,3.356,0.969,1.238,1.702,1069.2,93528
s14,100,1,100000,1000,1.852,1.088,1.037,1.530,4.567,1121.2,89190
s14,100,2,100000,1000,1.957,1.061,0.989,1.293,3.932,1042.0,95968
s14,1000,0,100000,100,1.721,4.183,3.475,4.059,7.045,368.0,271752
s14,1000,1,100000,100,1.524,3.843,3.263,3.797,7.072,347.2,287997
s14,1000,2,100000,100,1.543,4.042,3.180,3.753,4.960,336.4,297296
s14,10000,0,100000,10,1.543,138.354,91.519,102.051,102.051,994.4,100562
s14,10000,1,100000,10,1.443,111.702,102.335,106.183,106.183,1018.0,98233
s14,10000,2,100000,10,1.563,127.939,88.508,100.863,100.863,948.7,105407
numbers10,100,0,100000,1000,10.917,1.272,1.178,1.418,2.633,1228.3,81413
numbers10,100,1,100000,1000,2.594,1.320,1.171,1.414,5.147,1218.1,82092
numbers10,100,2,100000,1000,1.739,1.252,1.167,1.429,2.941,1211.6,82535
numbers10,1000,0,100000,100,1.532,7.256,7.106,9.177,9.847,749.1,133495
numbers10,1000,1,100000,100,1.509,7.360,7.537,8.801,10.276,783.4,127645
numbers10,1000,2,100000,100,1.783,7.885,7.710,9.433,10.206,806.6,123970
numbers10,10000,0,100000,10,1.645,453.844,376.724,537.382,537.382,4094.4,24424
numbers10,10000,1,100000,10,1.444,410.168,381.947,424.632,424.632,3913.6,25552
numbers10,10000,2,100000,10,1.474,417.978,450.219,475.310,475.310,4333.4,23077
text5date2,100,0,100000,1000,7.741,4.105,1.684,1.923,5.079,1739.1,57500
text5date2,100,1,100000,1000,1.865,1.829,1.675,1.921,3.861,1722.2,58066
text5date2,100,2,100000,1000,1.964,2.029,1.713,2.128,4.788,1778.2,56238
text5date2,1000,0,100000,100,1.875,22.520,18.566,22.411,24.495,1918.5,52125
text5date2,1000,1,100000,100,1.641,20.744,18.360,20.483,22.635,1882.1,53133
text5date2,1000,2,100000,100,1.497,19.422,18.630,21.065,22.555,1906.5,52452
text5date2,10000,0,100000,10,1.963,2539.059,2016.264,2125.043,2125.043,20451.7,4890
text5date2,10000,1,100000,10,1.540,1876.435,2051.912,2936.838,2936.838,20983.5,4766
text5date2,10000,2,100000,10,1.493,2581.327,1983.393,2543.972,2543.972,21298.9,4695
