section,shape,representation,rows,fetch_rows,accounted_bytes,accounted_bytes_per_row,os_private_delta_bytes,append_ms,random_read_ns,repeat
shape,numbers10,rows,1000,1000,496384,496.4,872448,0.371,7.0,0
shape,numbers10,rows,1000,1000,496384,496.4,622592,0.378,6.7,1
shape,numbers10,rows,1000,1000,496384,496.4,655360,0.344,6.6,2
shape,numbers10,batches,1000,1000,442872,442.9,466944,0.000,8.3,0
shape,numbers10,batches,1000,1000,442872,442.9,466944,0.000,8.5,1
shape,numbers10,batches,1000,1000,442872,442.9,479232,0.000,8.5,2
shape,numbers10,store,1000,1000,118200,118.2,155648,0.139,7.7,0
shape,numbers10,store,1000,1000,118200,118.2,155648,0.140,7.7,1
shape,numbers10,store,1000,1000,118200,118.2,155648,0.141,7.7,2
shape,numbers10,rows,100000,1000,50097152,501.0,54476800,23.968,33.2,0
shape,numbers10,rows,100000,1000,50097152,501.0,54771712,26.441,34.0,1
shape,numbers10,rows,100000,1000,50097152,501.0,54779904,25.364,35.2,2
shape,numbers10,batches,100000,1000,44278496,442.8,44527616,0.007,45.0,0
shape,numbers10,batches,100000,1000,44278496,442.8,44539904,0.006,43.8,1
shape,numbers10,batches,100000,1000,44278496,442.8,44527616,0.008,43.5,2
shape,numbers10,store,100000,1000,11813472,118.1,12955648,14.260,27.9,0
shape,numbers10,store,100000,1000,11813472,118.1,12984320,13.484,38.1,1
shape,numbers10,store,100000,1000,11813472,118.1,12955648,14.387,26.2,2
shape,numbers10,rows,1000000,1000,496777216,496.8,531288064,248.861,51.0,0
shape,numbers10,rows,1000000,1000,496777216,496.8,531083264,250.115,50.7,1
shape,numbers10,rows,1000000,1000,496777216,496.8,531288064,249.859,51.0,2
shape,numbers10,batches,1000000,1000,442776768,442.8,445018112,0.055,54.9,0
shape,numbers10,batches,1000000,1000,442776768,442.8,445022208,0.052,58.5,1
shape,numbers10,batches,1000000,1000,442776768,442.8,444780544,0.064,55.1,2
shape,numbers10,store,1000000,1000,118128576,118.1,123736064,140.307,49.6,0
shape,numbers10,store,1000000,1000,118128576,118.1,123740160,137.852,49.2,1
shape,numbers10,store,1000000,1000,118128576,118.1,123953152,132.880,50.3,2
shape,text5date2,rows,1000,1000,694841,694.8,1650688,0.704,10.4,0
shape,text5date2,rows,1000,1000,694841,694.8,1650688,0.723,10.6,1
shape,text5date2,rows,1000,1000,694841,694.8,1654784,0.719,10.4,2
shape,text5date2,batches,1000,1000,713824,713.8,802816,0.000,15.8,0
shape,text5date2,batches,1000,1000,713824,713.8,802816,0.000,16.1,1
shape,text5date2,batches,1000,1000,713824,713.8,802816,0.000,15.8,2
shape,text5date2,store,1000,1000,416073,416.1,0,0.155,11.5,0
shape,text5date2,store,1000,1000,416073,416.1,0,0.176,11.5,1
shape,text5date2,store,1000,1000,416073,416.1,446464,0.172,11.4,2
shape,text5date2,rows,100000,1000,69896952,699.0,83607552,60.292,37.8,0
shape,text5date2,rows,100000,1000,69896952,699.0,83607552,57.866,39.3,1
shape,text5date2,rows,100000,1000,69896952,699.0,83525632,56.595,41.8,2
shape,text5date2,batches,100000,1000,71373696,713.7,72601600,0.005,72.9,0
shape,text5date2,batches,100000,1000,71373696,713.7,72511488,0.005,75.3,1
shape,text5date2,batches,100000,1000,71373696,713.7,71954432,0.006,73.0,2
shape,text5date2,store,100000,1000,41554872,415.5,42266624,15.913,59.6,0
shape,text5date2,store,100000,1000,41554872,415.5,43008000,15.897,64.6,1
shape,text5date2,store,100000,1000,41554872,415.5,43008000,15.497,69.2,2
shape,text5date2,rows,1000000,1000,694777376,694.8,812154880,568.141,64.4,0
shape,text5date2,rows,1000000,1000,694777376,694.8,812875776,561.245,64.8,1
shape,text5date2,rows,1000000,1000,694777376,694.8,812154880,546.612,69.4,2
shape,text5date2,batches,1000000,1000,713728768,713.7,720089088,0.073,112.3,0
shape,text5date2,batches,1000000,1000,713728768,713.7,720351232,0.053,121.1,1
shape,text5date2,batches,1000000,1000,713728768,713.7,721969152,0.072,219.4,2
shape,text5date2,store,1000000,1000,415544736,415.5,427765760,217.835,306.5,0
shape,text5date2,store,1000000,1000,415544736,415.5,428838912,184.133,99.6,1
shape,text5date2,store,1000000,1000,415544736,415.5,427757568,184.813,124.3,2
shape,clob32k_inline,rows,1000,1000,32832384,32832.4,32485376,15.302,6.7,0
shape,clob32k_inline,rows,1000,1000,32832384,32832.4,33009664,21.744,6.3,1
shape,clob32k_inline,rows,1000,1000,32832384,32832.4,32481280,17.167,7.0,2
shape,clob32k_inline,batches,1000,1000,33563104,33563.1,34152448,0.001,25.7,0
shape,clob32k_inline,batches,1000,1000,33563104,33563.1,33144832,0.001,25.0,1
shape,clob32k_inline,batches,1000,1000,33563104,33563.1,34152448,0.001,18.7,2
shape,clob32k_inline,store,1000,1000,32776336,32776.3,32837632,14.638,20.5,0
shape,clob32k_inline,store,1000,1000,32776336,32776.3,32841728,14.420,15.6,1
shape,clob32k_inline,store,1000,1000,32776336,32776.3,32841728,14.824,22.1,2
shape,clob32k_inline,rows,10000,1000,328422144,32842.2,330297344,265.010,7.7,0
shape,clob32k_inline,rows,10000,1000,328422144,32842.2,329781248,185.120,8.3,1
shape,clob32k_inline,rows,10000,1000,328422144,32842.2,329773056,171.243,8.5,2
shape,clob32k_inline,batches,10000,1000,335630272,33563.0,336633856,0.007,26.2,0
shape,clob32k_inline,batches,10000,1000,335630272,33563.0,335818752,0.007,25.8,1
shape,clob32k_inline,batches,10000,1000,335630272,33563.0,335818752,0.009,46.3,2
shape,clob32k_inline,store,10000,1000,327762784,32776.3,328364032,56.330,20.6,0
shape,clob32k_inline,store,10000,1000,327762784,32776.3,328237056,52.049,21.4,1
shape,clob32k_inline,store,10000,1000,327762784,32776.3,328228864,49.639,22.7,2
shape,clob32k_inline,rows,100000,1000,3283697152,32837.0,3300179968,1946.101,32.4,0
shape,clob32k_inline,rows,100000,1000,3283697152,32837.0,3300741120,1636.608,21.6,1
shape,clob32k_inline,rows,100000,1000,3283697152,32837.0,3300155392,1701.201,19.8,2
shape,clob32k_inline,batches,100000,1000,3356301696,33563.0,3364339712,0.030,150.7,0
shape,clob32k_inline,batches,100000,1000,3356301696,33563.0,3364855808,0.031,138.2,1
shape,clob32k_inline,batches,100000,1000,3356301696,33563.0,3364855808,0.025,101.7,2
shape,clob32k_inline,store,100000,1000,3277627072,32776.3,3285544960,494.138,92.5,0
shape,clob32k_inline,store,100000,1000,3277627072,32776.3,3286061056,476.474,104.2,1
shape,clob32k_inline,store,100000,1000,3277627072,32776.3,3284770816,489.829,100.9,2
shape,s14,rows,1000,1000,201034,201.0,98304,0.207,14.6,0
shape,s14,rows,1000,1000,201034,201.0,372736,0.211,15.1,1
shape,s14,rows,1000,1000,201034,201.0,290816,0.210,13.8,2
shape,s14,batches,1000,1000,132928,132.9,163840,0.001,21.1,0
shape,s14,batches,1000,1000,132928,132.9,0,0.000,20.9,1
shape,s14,batches,1000,1000,132928,132.9,163840,0.001,23.7,2
shape,s14,store,1000,1000,73402,73.4,40960,0.046,17.6,0
shape,s14,store,1000,1000,73402,73.4,233472,0.037,14.3,1
shape,s14,store,1000,1000,73402,73.4,40960,0.068,14.3,2
shape,s14,rows,100000,1000,20562152,205.6,24465408,15.809,38.9,0
shape,s14,rows,100000,1000,20562152,205.6,24338432,15.939,48.0,1
shape,s14,rows,100000,1000,20562152,205.6,24260608,16.594,43.1,2
shape,s14,batches,100000,1000,13284096,132.8,13815808,0.007,59.3,0
shape,s14,batches,100000,1000,13284096,132.8,13811712,0.007,47.8,1
shape,s14,batches,100000,1000,13284096,132.8,14020608,0.010,41.8,2
shape,s14,store,100000,1000,7333672,73.3,7860224,2.469,42.1,0
shape,s14,store,100000,1000,7333672,73.3,7905280,2.292,27.3,1
shape,s14,store,100000,1000,7333672,73.3,7909376,2.283,27.5,2
shape,s14,rows,1000000,1000,201427216,201.4,233250816,156.326,84.5,0
shape,s14,rows,1000000,1000,201427216,201.4,233295872,156.071,63.6,1
shape,s14,rows,1000000,1000,201427216,201.4,233234432,174.278,66.9,2
shape,s14,batches,1000000,1000,132832768,132.8,135106560,0.053,80.8,0
shape,s14,batches,1000000,1000,132832768,132.8,135094272,0.045,78.6,1
shape,s14,batches,1000000,1000,132832768,132.8,135245824,0.049,77.6,2
shape,s14,store,1000000,1000,73330576,73.3,77475840,30.586,66.8,0
shape,s14,store,1000000,1000,73330576,73.3,77848576,31.049,79.3,1
shape,s14,store,1000000,1000,73330576,73.3,77369344,31.762,76.2,2
fetch_size,s14,batches,100000,100,13696768,137.0,14995456,0.043,48.5,0
fetch_size,s14,batches,100000,100,13696768,137.0,14999552,0.044,63.4,1
