shape,representation,rows,fetch_rows,accounted_bytes,accounted_bytes_per_row,os_private_delta_bytes,append_ms,random_read_ns,repeat
s14,rows,1000,1000,201034,201.0,376832,0.331,13.6,1
s14,rows,1000,1000,201034,201.0,376832,0.216,13.9,2
s14,batches,1000,1000,132928,132.9,0,0.000,20.9,1
s14,batches,1000,1000,132928,132.9,0,0.000,21.1,2
s14,store,1000,1000,73402,73.4,0,0.063,14.7,1
s14,store,1000,1000,73402,73.4,233472,0.036,14.3,2
s14,rows,100000,1000,20562152,205.6,24281088,16.076,41.0,1
s14,rows,100000,1000,20562152,205.6,24317952,20.012,62.4,2
s14,batches,100000,1000,13284096,132.8,14082048,0.006,57.8,1
s14,batches,100000,1000,13284096,132.8,13983744,0.007,58.9,2
s14,store,100000,1000,7333672,73.3,8073216,2.325,30.5,1
s14,store,100000,1000,7333672,73.3,8081408,2.438,31.4,2
s14,rows,1000000,1000,201427216,201.4,233263104,169.144,73.4,1
s14,rows,1000000,1000,201427216,201.4,233111552,170.951,70.3,2
s14,batches,1000000,1000,132832768,132.8,135311360,0.051,80.1,1
s14,batches,1000000,1000,132832768,132.8,135110656,0.049,78.5,2
s14,store,1000000,1000,73330576,73.3,78069760,29.286,72.6,1
s14,store,1000000,1000,73330576,73.3,77357056,29.137,93.1,2
numbers10,rows,1000,1000,496384,496.4,655360,0.337,7.4,1
numbers10,rows,1000,1000,496384,496.4,872448,0.430,6.6,2
numbers10,batches,1000,1000,442872,442.9,471040,0.000,8.7,1
numbers10,batches,1000,1000,442872,442.9,389120,0.000,8.9,2
numbers10,store,1000,1000,118200,118.2,77824,0.144,7.8,1
numbers10,store,1000,1000,118200,118.2,118784,0.151,7.8,2
numbers10,rows,100000,1000,50097152,501.0,54775808,33.182,49.9,1
numbers10,rows,100000,1000,50097152,501.0,54784000,30.304,40.2,2
numbers10,batches,100000,1000,44278496,442.8,44511232,0.010,47.3,1
numbers10,batches,100000,1000,44278496,442.8,44527616,0.009,46.8,2
numbers10,store,100000,1000,11813472,118.1,12967936,13.961,30.0,1
numbers10,store,100000,1000,11813472,118.1,12931072,14.838,41.5,2
numbers10,rows,1000000,1000,496777216,496.8,531214336,278.149,66.5,1
numbers10,rows,1000000,1000,496777216,496.8,531304448,260.834,55.8,2
numbers10,batches,1000000,1000,442776768,442.8,444948480,0.054,59.0,1
numbers10,batches,1000000,1000,442776768,442.8,444833792,0.060,61.1,2
numbers10,store,1000000,1000,118128576,118.1,123867136,137.684,51.3,1
numbers10,store,1000000,1000,118128576,118.1,123944960,143.566,51.6,2
text5date2,rows,1000,1000,694841,694.8,1634304,0.752,10.5,1
text5date2,rows,1000,1000,694841,694.8,1609728,0.672,10.4,2
text5date2,batches,1000,1000,713824,713.8,802816,0.000,15.8,1
text5date2,batches,1000,1000,713824,713.8,802816,0.000,16.0,2
text5date2,store,1000,1000,416073,416.1,1134592,0.161,11.6,1
text5date2,store,1000,1000,416073,416.1,446464,0.164,11.3,2
text5date2,rows,100000,1000,69896952,699.0,83542016,56.382,39.1,1
text5date2,rows,100000,1000,69896952,699.0,83591168,59.468,41.5,2
text5date2,batches,100000,1000,71373696,713.7,72728576,0.005,70.8,1
text5date2,batches,100000,1000,71373696,713.7,71954432,0.006,69.4,2
text5date2,store,100000,1000,41554872,415.5,42258432,16.329,67.9,1
text5date2,store,100000,1000,41554872,415.5,43331584,16.243,64.7,2
text5date2,rows,1000000,1000,694777376,694.8,812740608,562.448,62.5,1
text5date2,rows,1000000,1000,694777376,694.8,812478464,621.419,63.9,2
text5date2,batches,1000000,1000,713728768,713.7,722489344,0.057,114.2,1
text5date2,batches,1000000,1000,713728768,713.7,722489344,0.061,123.4,2
text5date2,store,1000000,1000,415544736,415.5,428548096,169.963,102.7,1
text5date2,store,1000000,1000,415544736,415.5,428900352,172.992,162.1,2
text5date2,batches,100,1000,153040,1530.4,139264,0.000,15.9
s14,batches,50,1000,84568,1691.4,126976,0.000,21.7
clob32k_inline,batches,100000,1000,3356301696,33563.0,3363405824,0.030,137.9
text5date2,store,100,1000,42491,424.9,24576,0.011,11.0
s14,store,50,1000,4046,80.9,0,0.004,14.6
clob32k_inline,store,100000,1000,3277627072,32776.3,3285286912,482.862,104.2
