shape,representation,rows,fetch_rows,total_ms,fetch_p50_us,fetch_p99_us,fetch_max_us,compaction_ms,accounted_bytes,repeat
s14,batches,1000000,1000,657.1,665.8,1028.8,2038.8,0.0,0,0
ids10,batches,1000000,1000,939.6,951.7,1421.6,1942.1,0.0,0,0
s14,store,1000000,1000,995.0,636.8,8041.4,34514.0,70.4,73066000,0
ids10,store,1000000,1000,2794.2,1265.1,27134.9,62118.3,354.2,82104000,0
s14,batches,1000000,1000,1340.5,866.4,9782.7,52840.5,0.0,0,1
ids10,batches,1000000,1000,1413.0,1236.2,4483.0,14700.3,0.0,0,1
s14,store,1000000,1000,1079.4,733.8,5344.7,12332.6,94.9,73066000,1
ids10,store,1000000,1000,1587.6,966.7,5846.8,22512.4,322.4,82104000,1
s14,batches,1000000,1000,966.3,783.6,4445.7,23573.7,0.0,0,2
ids10,batches,1000000,1000,1566.6,1219.4,8873.1,49959.4,0.0,0,2
s14,store,1000000,1000,1390.8,827.3,8561.7,59759.7,108.7,73066000,2
ids10,store,1000000,1000,3126.8,1191.1,41239.1,137887.1,331.7,82104000,2
