section,shape,representation,rows,fetch_rows,accounted_bytes,accounted_bytes_per_row,os_private_delta_bytes,append_ms,random_read_ns,repeat
shape,numbers10,rows,1000,1000,496384,496.4,655360,0.351,6.6,0
shape,numbers10,rows,1000,1000,496384,496.4,798720,0.331,6.9,1
shape,numbers10,rows,1000,1000,496384,496.4,843776,0.387,8.1,2
shape,numbers10,batches,1000,1000,442872,442.9,389120,0.000,10.1,0
shape,numbers10,batches,1000,1000,442872,442.9,479232,0.001,12.0,1
shape,numbers10,batches,1000,1000,442872,442.9,262144,0.000,9.4,2
shape,numbers10,store,1000,1000,118200,118.2,0,0.150,9.5,0
shape,numbers10,store,1000,1000,118200,118.2,0,0.671,9.8,1
shape,numbers10,store,1000,1000,118200,118.2,155648,0.137,8.1,2
shape,numbers10,rows,100000,1000,50097152,501.0,54771712,28.396,50.2,0
shape,numbers10,rows,100000,1000,50097152,501.0,54771712,29.596,56.5,1
shape,numbers10,rows,100000,1000,50097152,501.0,54779904,30.287,50.9,2
shape,numbers10,batches,100000,1000,44278496,442.8,44535808,0.012,55.8,0
shape,numbers10,batches,100000,1000,44278496,442.8,44531712,0.012,55.0,1
shape,numbers10,batches,100000,1000,44278496,442.8,44527616,0.008,50.8,2
shape,numbers10,store,100000,1000,11813472,118.1,12763136,14.150,36.0,0
shape,numbers10,store,100000,1000,11813472,118.1,12980224,15.917,44.8,1
shape,numbers10,store,100000,1000,11813472,118.1,12759040,16.336,51.9,2
shape,numbers10,rows,1000000,1000,496777216,496.8,531079168,355.588,84.0,0
shape,numbers10,rows,1000000,1000,496777216,496.8,531013632,388.798,82.3,1
shape,numbers10,rows,1000000,1000,496777216,496.8,531288064,373.262,111.5,2
shape,numbers10,batches,1000000,1000,442776768,442.8,445022208,0.102,148.7,0
shape,numbers10,batches,1000000,1000,442776768,442.8,444780544,0.092,120.4,1
shape,numbers10,batches,1000000,1000,442776768,442.8,444776448,0.152,112.8,2
shape,numbers10,store,1000000,1000,118128576,118.1,123842560,181.692,81.8,0
shape,numbers10,store,1000000,1000,118128576,118.1,123961344,180.639,79.3,1
shape,numbers10,store,1000000,1000,118128576,118.1,123912192,185.511,83.6,2
shape,text5date2,rows,1000,1000,694841,694.8,1261568,1.055,11.4,0
shape,text5date2,rows,1000,1000,694841,694.8,1650688,1.258,11.1,1
shape,text5date2,rows,1000,1000,694841,694.8,1650688,1.259,11.9,2
shape,text5date2,batches,1000,1000,713824,713.8,802816,0.000,17.7,0
shape,text5date2,batches,1000,1000,713824,713.8,802816,0.000,18.0,1
shape,text5date2,batches,1000,1000,713824,713.8,278528,0.000,17.7,2
shape,text5date2,store,1000,1000,416073,416.1,446464,0.167,11.9,0
shape,text5date2,store,1000,1000,416073,416.1,450560,0.163,13.5,1
shape,text5date2,store,1000,1000,416073,416.1,786432,0.256,12.6,2
shape,text5date2,rows,100000,1000,69896952,699.0,83603456,90.588,82.2,0
shape,text5date2,rows,100000,1000,69896952,699.0,83603456,88.385,59.6,1
shape,text5date2,rows,100000,1000,69896952,699.0,83615744,78.292,63.7,2
shape,text5date2,batches,100000,1000,71373696,713.7,72605696,0.010,124.5,0
shape,text5date2,batches,100000,1000,71373696,713.7,71708672,0.008,127.2,1
shape,text5date2,batches,100000,1000,71373696,713.7,71917568,0.007,124.4,2
shape,text5date2,store,100000,1000,41554872,415.5,43065344,29.846,102.2,0
shape,text5date2,store,100000,1000,41554872,415.5,42266624,25.172,103.1,1
shape,text5date2,store,100000,1000,41554872,415.5,43069440,21.973,105.0,2
shape,text5date2,rows,1000000,1000,694777376,694.8,812945408,841.084,98.2,0
shape,text5date2,rows,1000000,1000,694777376,694.8,811929600,871.399,101.0,1
shape,text5date2,rows,1000000,1000,694777376,694.8,811933696,824.314,99.9,2
shape,text5date2,batches,1000000,1000,713728768,713.7,720252928,0.076,189.9,0
shape,text5date2,batches,1000000,1000,713728768,713.7,720736256,0.073,197.7,1
shape,text5date2,batches,1000000,1000,713728768,713.7,720736256,0.094,210.5,2
shape,text5date2,store,1000000,1000,415544736,415.5,428625920,212.477,175.2,0
shape,text5date2,store,1000000,1000,415544736,415.5,428630016,216.186,189.5,1
shape,text5date2,store,1000000,1000,415544736,415.5,428560384,222.180,177.7,2
shape,clob32k_inline,rows,1000,1000,32832384,32832.4,33001472,19.057,7.8,0
shape,clob32k_inline,rows,1000,1000,32832384,32832.4,32485376,23.374,6.4,1
shape,clob32k_inline,rows,1000,1000,32832384,32832.4,32485376,19.220,7.3,2
shape,clob32k_inline,batches,1000,1000,33563104,33563.1,33144832,0.001,11.5,0
shape,clob32k_inline,batches,1000,1000,33563104,33563.1,33640448,0.001,14.9,1
shape,clob32k_inline,batches,1000,1000,33563104,33563.1,34152448,0.001,15.1,2
shape,clob32k_inline,store,1000,1000,32776336,32776.3,32837632,6.652,15.1,0
shape,clob32k_inline,store,1000,1000,32776336,32776.3,32837632,5.533,11.0,1
shape,clob32k_inline,store,1000,1000,32776336,32776.3,32841728,6.360,11.3,2
shape,clob32k_inline,rows,10000,1000,328422144,32842.2,329768960,195.228,9.2,0
shape,clob32k_inline,rows,10000,1000,328422144,32842.2,329773056,207.568,11.3,1
shape,clob32k_inline,rows,10000,1000,328422144,32842.2,330297344,199.222,10.2,2
shape,clob32k_inline,batches,10000,1000,335630272,33563.0,335818752,0.022,41.4,0
shape,clob32k_inline,batches,10000,1000,335630272,33563.0,336109568,0.006,38.3,1
shape,clob32k_inline,batches,10000,1000,335630272,33563.0,336371712,0.011,43.4,2
shape,clob32k_inline,store,10000,1000,327762784,32776.3,328892416,63.421,26.7,0
shape,clob32k_inline,store,10000,1000,327762784,32776.3,328376320,60.690,28.7,1
shape,clob32k_inline,store,10000,1000,327762784,32776.3,328364032,61.925,22.1,2
shape,clob32k_inline,rows,100000,1000,3283697152,32837.0,3300130816,2224.740,73.9,0
shape,clob32k_inline,rows,100000,1000,3283697152,32837.0,3300184064,2124.273,64.7,1
shape,clob32k_inline,rows,100000,1000,3283697152,32837.0,3300700160,2116.237,83.5,2
shape,clob32k_inline,batches,100000,1000,3356301696,33563.0,3364327424,0.032,268.2,0
shape,clob32k_inline,batches,100000,1000,3356301696,33563.0,3363930112,0.036,287.2,1
shape,clob32k_inline,batches,100000,1000,3356301696,33563.0,3363409920,0.040,235.7,2
shape,clob32k_inline,store,100000,1000,3277627072,32776.3,3285544960,670.011,165.6,0
shape,clob32k_inline,store,100000,1000,3277627072,32776.3,3285139456,668.685,201.0,1
shape,clob32k_inline,store,100000,1000,3277627072,32776.3,3285544960,710.035,195.0,2
shape,s14,rows,1000,1000,201034,201.0,290816,0.299,14.7,0
shape,s14,rows,1000,1000,201034,201.0,188416,0.208,18.2,1
shape,s14,rows,1000,1000,201034,201.0,65536,0.259,14.9,2
shape,s14,batches,1000,1000,132928,132.9,0,0.000,25.6,0
shape,s14,batches,1000,1000,132928,132.9,192512,0.000,23.4,1
shape,s14,batches,1000,1000,132928,132.9,0,0.000,25.2,2
shape,s14,store,1000,1000,73402,73.4,0,0.053,16.0,0
shape,s14,store,1000,1000,73402,73.4,40960,0.069,16.6,1
shape,s14,store,1000,1000,73402,73.4,233472,0.037,16.4,2
shape,s14,rows,100000,1000,20562152,205.6,24260608,26.600,81.3,0
shape,s14,rows,100000,1000,20562152,205.6,24256512,29.212,95.1,1
shape,s14,rows,100000,1000,20562152,205.6,24260608,27.790,84.9,2
shape,s14,batches,100000,1000,13284096,132.8,14024704,0.011,79.3,0
shape,s14,batches,100000,1000,13284096,132.8,13950976,0.009,84.4,1
shape,s14,batches,100000,1000,13284096,132.8,13955072,0.009,89.8,2
shape,s14,store,100000,1000,7333672,73.3,8073216,4.518,59.1,0
shape,s14,store,100000,1000,7333672,73.3,7901184,3.610,72.6,1
shape,s14,store,100000,1000,7333672,73.3,7925760,2.851,65.0,2
shape,s14,rows,1000000,1000,201427216,201.4,232898560,205.050,93.0,0
shape,s14,rows,1000000,1000,201427216,201.4,233209856,222.552,90.4,1
shape,s14,rows,1000000,1000,201427216,201.4,232886272,220.411,92.7,2
shape,s14,batches,1000000,1000,132832768,132.8,135270400,0.070,108.0,0
shape,s14,batches,1000000,1000,132832768,132.8,135106560,0.068,109.4,1
shape,s14,batches,1000000,1000,132832768,132.8,135135232,0.063,106.1,2
shape,s14,store,1000000,1000,73330576,73.3,77451264,38.496,104.0,0
shape,s14,store,1000000,1000,73330576,73.3,77488128,36.958,102.1,1
shape,s14,store,1000000,1000,73330576,73.3,77475840,37.901,99.2,2
fetch_size,s14,batches,100000,100,13696768,137.0,14999552,0.047,108.9,0
fetch_size,s14,batches,100000,100,13696768,137.0,14999552,0.048,100.2,1
fetch_size,s14,batches,100000,100,13696768,137.0,15003648,0.050,105.9,2
fetch_size,s14,store,100000,100,7609576,76.1,8564736,4.163,81.6,0
fetch_size,s14,store,100000,100,7609576,76.1,8527872,4.884,125.6,1
fetch_size,s14,store,100000,100,7609576,76.1,8720384,4.832,94.3,2
fetch_size,s14,batches,100000,10000,15443312,154.4,16777216,0.003,106.9,0
fetch_size,s14,batches,100000,10000,15443312,154.4,16777216,0.003,68.6,1
fetch_size,s14,batches,100000,10000,15443312,154.4,17301504,0.002,96.6,2
fetch_size,s14,store,100000,10000,7305784,73.1,7352320,3.794,65.0,0
fetch_size,s14,store,100000,10000,7305784,73.1,8069120,4.152,57.0,1
fetch_size,s14,store,100000,10000,7305784,73.1,7307264,4.580,84.9,2
fetch_size,text5date2,batches,100000,100,72144768,721.4,76955648,0.068,132.6,0
fetch_size,text5date2,batches,100000,100,72144768,721.4,77160448,0.058,115.8,1
fetch_size,text5date2,batches,100000,100,72144768,721.4,76877824,0.054,118.7,2
fetch_size,text5date2,store,100000,100,42160376,421.6,45387776,15.745,101.9,0
fetch_size,text5date2,store,100000,100,42160376,421.6,45359104,17.560,143.4,1
fetch_size,text5date2,store,100000,100,42160376,421.6,45404160,18.239,122.4,2
fetch_size,text5date2,batches,100000,10000,59406512,594.1,65286144,0.003,119.4,0
fetch_size,text5date2,batches,100000,10000,59406512,594.1,65101824,0.001,99.4,1
fetch_size,text5date2,batches,100000,10000,59406512,594.1,64520192,0.003,120.5,2
fetch_size,text5date2,store,100000,10000,41494344,414.9,43257856,15.542,88.0,0
fetch_size,text5date2,store,100000,10000,41494344,414.9,43249664,13.156,95.3,1
fetch_size,text5date2,store,100000,10000,41494344,414.9,43335680,11.696,93.2,2
