section,shape,representation,rows,fetch_rows,accounted_bytes,accounted_bytes_per_row,os_private_delta_bytes,append_ms,random_read_ns,repeat
shape,numbers10,rows,1000,1000,496384,496.4,655360,0.369,6.9,0
shape,numbers10,rows,1000,1000,496384,496.4,872448,0.419,8.0,1
shape,numbers10,rows,1000,1000,496384,496.4,622592,0.396,7.1,2
shape,numbers10,batches,1000,1000,442872,442.9,389120,0.000,9.2,0
shape,numbers10,batches,1000,1000,442872,442.9,262144,0.000,9.3,1
shape,numbers10,batches,1000,1000,442872,442.9,262144,0.000,8.7,2
shape,numbers10,store,1000,1000,118280,118.3,126976,0.196,10.5,0
shape,numbers10,store,1000,1000,118280,118.3,40960,0.164,13.6,1
shape,numbers10,store,1000,1000,118280,118.3,126976,0.177,10.4,2
shape,numbers10,rows,100000,1000,50097152,501.0,54505472,32.529,49.8,0
shape,numbers10,rows,100000,1000,50097152,501.0,54566912,33.067,52.4,1
shape,numbers10,rows,100000,1000,50097152,501.0,54566912,31.123,49.7,2
shape,numbers10,batches,100000,1000,44278496,442.8,44306432,0.009,57.7,0
shape,numbers10,batches,100000,1000,44278496,442.8,44318720,0.016,57.5,1
shape,numbers10,batches,100000,1000,44278496,442.8,44466176,0.014,56.0,2
shape,numbers10,store,100000,1000,11823648,118.2,12791808,14.162,66.6,0
shape,numbers10,store,100000,1000,11823648,118.2,12787712,14.927,66.4,1
shape,numbers10,store,100000,1000,11823648,118.2,12791808,15.021,66.1,2
shape,numbers10,rows,1000000,1000,496777216,496.8,531013632,318.649,83.0,0
shape,numbers10,rows,1000000,1000,496777216,496.8,531017728,328.409,85.1,1
shape,numbers10,rows,1000000,1000,496777216,496.8,531283968,325.342,74.8,2
shape,numbers10,batches,1000000,1000,442776768,442.8,445022208,0.144,124.7,0
shape,numbers10,batches,1000000,1000,442776768,442.8,445022208,0.103,78.7,1
shape,numbers10,batches,1000000,1000,442776768,442.8,444825600,0.100,80.4,2
shape,numbers10,store,1000000,1000,118232384,118.2,124174336,130.022,119.6,0
shape,numbers10,store,1000000,1000,118232384,118.2,124203008,127.573,102.5,1
shape,numbers10,store,1000000,1000,118232384,118.2,124203008,132.404,100.4,2
shape,text5date2,rows,1000,1000,694841,694.8,1658880,0.749,12.0,0
shape,text5date2,rows,1000,1000,694841,694.8,1650688,1.205,11.1,1
shape,text5date2,rows,1000,1000,694841,694.8,851968,1.533,10.9,2
shape,text5date2,batches,1000,1000,713824,713.8,802816,0.000,18.3,0
shape,text5date2,batches,1000,1000,713824,713.8,802816,0.000,16.7,1
shape,text5date2,batches,1000,1000,713824,713.8,0,0.000,19.7,2
shape,text5date2,store,1000,1000,416129,416.1,475136,0.009,18.1,0
shape,text5date2,store,1000,1000,416129,416.1,8192,0.013,17.8,1
shape,text5date2,store,1000,1000,416129,416.1,475136,0.012,20.5,2
shape,text5date2,rows,100000,1000,69896952,699.0,83607552,82.499,50.5,0
shape,text5date2,rows,100000,1000,69896952,699.0,83603456,68.402,52.3,1
shape,text5date2,rows,100000,1000,69896952,699.0,83615744,72.419,51.8,2
shape,text5date2,batches,100000,1000,71373696,713.7,72515584,0.008,122.4,0
shape,text5date2,batches,100000,1000,71373696,713.7,72499200,0.013,128.1,1
shape,text5date2,batches,100000,1000,71373696,713.7,72503296,0.010,104.3,2
shape,text5date2,store,100000,1000,41562648,415.6,61292544,0.550,132.6,0
shape,text5date2,store,100000,1000,41562648,415.6,61710336,0.459,133.5,1
shape,text5date2,store,100000,1000,41562648,415.6,61292544,0.557,117.1,2
shape,text5date2,rows,1000000,1000,694777376,694.8,811921408,723.867,87.8,0
shape,text5date2,rows,1000000,1000,694777376,694.8,812863488,759.937,97.8,1
shape,text5date2,rows,1000000,1000,694777376,694.8,812163072,788.581,102.0,2
shape,text5date2,batches,1000000,1000,713728768,713.7,721170432,0.071,144.1,0
shape,text5date2,batches,1000000,1000,713728768,713.7,720248832,0.067,138.0,1
shape,text5date2,batches,1000000,1000,713728768,713.7,720048128,0.076,140.7,2
shape,text5date2,store,1000000,1000,415624544,415.6,656326656,125.105,206.4,0
shape,text5date2,store,1000000,1000,415624544,415.6,658800640,125.597,247.0,1
shape,text5date2,store,1000000,1000,415624544,415.6,657608704,126.424,241.1,2
shape,clob32k_inline,rows,1000,1000,32832384,32832.4,32485376,18.174,6.4,0
shape,clob32k_inline,rows,1000,1000,32832384,32832.4,32485376,16.735,6.8,1
shape,clob32k_inline,rows,1000,1000,32832384,32832.4,32485376,16.871,6.4,2
shape,clob32k_inline,batches,1000,1000,33563104,33563.1,33144832,0.001,13.4,0
shape,clob32k_inline,batches,1000,1000,33563104,33563.1,33144832,0.001,15.8,1
shape,clob32k_inline,batches,1000,1000,33563104,33563.1,33148928,0.001,11.5,2
shape,clob32k_inline,store,1000,1000,32776344,32776.3,33366016,0.023,15.0,0
shape,clob32k_inline,store,1000,1000,32776344,32776.3,32358400,0.023,18.1,1
shape,clob32k_inline,store,1000,1000,32776344,32776.3,33366016,0.017,13.3,2
shape,clob32k_inline,rows,10000,1000,328422144,32842.2,329781248,182.610,8.0,0
shape,clob32k_inline,rows,10000,1000,328422144,32842.2,329777152,188.655,8.3,1
shape,clob32k_inline,rows,10000,1000,328422144,32842.2,329740288,182.486,8.8,2
shape,clob32k_inline,batches,10000,1000,335630272,33563.0,336642048,0.008,29.5,0
shape,clob32k_inline,batches,10000,1000,335630272,33563.0,336252928,0.010,31.6,1
shape,clob32k_inline,batches,10000,1000,335630272,33563.0,336633856,0.009,27.4,2
shape,clob32k_inline,store,10000,1000,327763056,32776.3,328388608,0.109,31.4,0
shape,clob32k_inline,store,10000,1000,327763056,32776.3,328261632,0.123,52.9,1
shape,clob32k_inline,store,10000,1000,327763056,32776.3,328908800,0.096,32.4,2
shape,clob32k_inline,rows,100000,1000,3283697152,32837.0,3300118528,2104.228,72.9,0
shape,clob32k_inline,rows,100000,1000,3283697152,32837.0,3300704256,2004.388,63.0,1
shape,clob32k_inline,rows,100000,1000,3283697152,32837.0,3300679680,1991.112,69.2,2
shape,clob32k_inline,batches,100000,1000,3356301696,33563.0,3364339712,0.031,195.3,0
shape,clob32k_inline,batches,100000,1000,3356301696,33563.0,3364077568,0.031,226.8,1
shape,clob32k_inline,batches,100000,1000,3356301696,33563.0,3363405824,0.031,213.4,2
shape,clob32k_inline,store,100000,1000,3277630048,32776.3,3285700608,1.423,249.2,0
shape,clob32k_inline,store,100000,1000,3277630048,32776.3,3286220800,1.296,269.5,1
shape,clob32k_inline,store,100000,1000,3277630048,32776.3,3286220800,1.677,279.8,2
shape,s14,rows,1000,1000,201034,201.0,372736,0.243,14.4,0
shape,s14,rows,1000,1000,201034,201.0,372736,0.424,14.5,1
shape,s14,rows,1000,1000,201034,201.0,372736,0.387,15.2,2
shape,s14,batches,1000,1000,132928,132.9,0,0.000,22.4,0
shape,s14,batches,1000,1000,132928,132.9,192512,0.000,21.8,1
shape,s14,batches,1000,1000,132928,132.9,0,0.000,23.3,2
shape,s14,store,1000,1000,73426,73.4,90112,0.046,19.0,0
shape,s14,store,1000,1000,73426,73.4,94208,0.038,19.8,1
shape,s14,store,1000,1000,73426,73.4,176128,0.051,23.0,2
shape,s14,rows,100000,1000,20562152,205.6,24260608,19.548,61.2,0
shape,s14,rows,100000,1000,20562152,205.6,24256512,22.136,76.9,1
shape,s14,rows,100000,1000,20562152,205.6,24551424,23.753,71.6,2
shape,s14,batches,100000,1000,13284096,132.8,14024704,0.009,69.2,0
shape,s14,batches,100000,1000,13284096,132.8,13811712,0.010,77.6,1
shape,s14,batches,100000,1000,13284096,132.8,13815808,0.007,65.9,2
shape,s14,store,100000,1000,7338248,73.4,8347648,1.760,109.4,0
shape,s14,store,100000,1000,7338248,73.4,8142848,1.297,95.0,1
shape,s14,store,100000,1000,7338248,73.4,7856128,1.614,107.9,2
shape,s14,rows,1000000,1000,201427216,201.4,233242624,277.116,92.3,0
shape,s14,rows,1000000,1000,201427216,201.4,232890368,232.593,95.5,1
shape,s14,rows,1000000,1000,201427216,201.4,232894464,206.612,86.0,2
shape,s14,batches,1000000,1000,132832768,132.8,135098368,0.057,103.7,0
shape,s14,batches,1000000,1000,132832768,132.8,134991872,0.067,89.0,1
shape,s14,batches,1000000,1000,132832768,132.8,135270400,0.059,102.3,2
shape,s14,store,1000000,1000,73378384,73.4,77185024,17.625,96.6,0
shape,s14,store,1000000,1000,73378384,73.4,77529088,17.937,132.0,1
shape,s14,store,1000000,1000,73378384,73.4,75735040,13.341,118.3,2
fetch_size,s14,batches,100000,100,13696768,137.0,15007744,0.045,84.3,0
fetch_size,s14,batches,100000,100,13696768,137.0,14999552,0.048,91.2,1
fetch_size,s14,batches,100000,100,13696768,137.0,14999552,0.067,122.8,2
fetch_size,s14,store,100000,100,7657384,76.6,8634368,4.334,77.7,0
fetch_size,s14,store,100000,100,7657384,76.6,8421376,1.955,75.1,1
fetch_size,s14,store,100000,100,7657384,76.6,8425472,2.110,74.1,2
fetch_size,s14,batches,100000,10000,15443312,154.4,17301504,0.002,61.1,0
fetch_size,s14,batches,100000,10000,15443312,154.4,16777216,0.003,68.8,1
fetch_size,s14,batches,100000,10000,15443312,154.4,17301504,0.002,95.0,2
fetch_size,s14,store,100000,10000,7306216,73.1,8519680,1.825,67.6,0
fetch_size,s14,store,100000,10000,7306216,73.1,7979008,1.938,58.2,1
fetch_size,s14,store,100000,10000,7306216,73.1,8523776,1.744,59.4,2
fetch_size,text5date2,batches,100000,100,72144768,721.4,77160448,0.057,118.8,0
fetch_size,text5date2,batches,100000,100,72144768,721.4,77017088,0.046,200.3,1
fetch_size,text5date2,batches,100000,100,72144768,721.4,76984320,0.069,127.0,2
fetch_size,text5date2,store,100000,100,42240184,422.4,45711360,16.761,138.1,0
fetch_size,text5date2,store,100000,100,42240184,422.4,45383680,20.902,238.3,1
fetch_size,text5date2,store,100000,100,42240184,422.4,45768704,17.973,145.0,2
fetch_size,text5date2,batches,100000,10000,59406512,594.1,65314816,0.002,102.4,0
fetch_size,text5date2,batches,100000,10000,59406512,594.1,65224704,0.002,114.3,1
fetch_size,text5date2,batches,100000,10000,59406512,594.1,64622592,0.001,97.1,2
fetch_size,text5date2,store,100000,10000,41495096,415.0,42057728,0.418,113.6,0
fetch_size,text5date2,store,100000,10000,41495096,415.0,42020864,0.275,113.6,1
fetch_size,text5date2,store,100000,10000,41495096,415.0,42012672,0.261,113.7,2
