run,phase,frames,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,over_8ms,over_16_7ms,over_33ms,sgwork_p50_ms,sgwork_p99_ms,sgwork_max_ms,rows_travelled,model_rows
k1-100-novsync,idle,3000,5.311,6.006,6.061,6.31,6.646,0,0,0,0.035,0.072,0.091,0,1000000
k1-100-novsync,flick,3000,5.332,6.046,6.151,6.494,8.423,2,0,0,0.236,0.504,0.782,10450,1000000
k1-100-novsync,sweep,3000,5.342,6.02,6.108,6.479,7.876,0,0,0,0.27,0.53,0.742,15005,1000000
k1-100-novsync,full,3000,7.746,8.646,9.028,10.309,14.557,1043,0,0,0.996,1.773,2.272,2000615,1000000
k1-100-novsync,jump,3000,7.824,8.874,9.454,10.843,11.905,1173,0,0,1.009,1.861,3.918,998638991,1000000
k1-150-novsync,idle,3000,5.379,6.007,6.059,6.417,6.723,0,0,0,0.034,0.072,0.098,0,1000000
k1-150-novsync,flick,3000,5.364,6.043,6.155,6.486,9.037,1,0,0,0.241,0.514,2.972,10450,1000000
k1-150-novsync,sweep,3000,5.383,6.043,6.148,6.523,8.751,1,0,0,0.271,0.52,0.652,15005,1000000
k1-150-novsync,full,3000,7.692,8.609,8.974,10.191,12.398,975,0,0,0.987,1.693,2.424,2000616,1000000
k1-150-novsync,jump,3000,7.74,8.708,9.146,10.196,11.621,1059,0,0,0.987,1.772,3.753,998639445,1000000
k1-100-vsync,idle,60,251.797,265.541,265.999,266.451,266.451,60,60,60,0.084,0.129,0.129,0,1000000
k1-100-vsync,full,60,252.128,264.659,265.552,266.562,266.562,60,60,60,1.726,2.504,2.504,2033281,1000000
k6,sweep,3000,5.386,6.029,6.112,6.507,7.952,0,0,0,0.266,0.501,0.753,15005,1000000
k6,blockother,3000,5.387,6.033,6.107,6.453,8.866,2,0,0,0.269,0.51,0.758,15005,1000000
k6,sweep,3000,5.347,6.025,6.117,6.454,8.687,1,0,0,0.267,0.477,0.765,15005,1000000
k6,blocksame,3000,5.371,6.013,6.07,6.472,13.371,1,0,0,0.025,0.056,0.202,0,0
appsweep-f100,full,1500,7.606,8.447,8.744,9.776,12.821,401,0,0,0.987,1.663,2.242,2001282,1000000
appsweep-f1000,full,1500,7.869,8.761,9.102,10.587,15.009,616,0,0,0.995,1.534,2.162,2001282,1000000
appsweep-f10000,full,1500,7.893,9.028,9.758,11.238,13.822,652,0,0,0.995,2.115,2.46,2001282,1000000
appsweep-f50000,full,1500,7.756,8.665,8.94,10.22,12.773,530,0,0,1.005,1.613,2.229,2001282,1000000
