run,mode,dpr,phase,frames,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,over_8ms,over_16_7ms,over_20ms,over_33ms,gui_p50_ms,gui_p99_ms,gui_max_ms,render_p50_ms,render_p99_ms,render_max_ms,rows_travelled,step_px
k1p-100,vsync off,1,idle,3000,0.201,0.428,0.75,3.474,6.752,0,0,0,0,0.06,0.437,1.946,0.032,0.179,0.498,0,110
k1p-100,vsync off,1,flick,3000,1.054,2.534,3.548,5.812,19.737,11,1,0,0,0.699,4.378,12.945,0.426,1.478,2.248,10424,110
k1p-100,vsync off,1,sweep,3001,1.172,2.148,2.776,4.854,18.643,10,1,0,0,0.869,2.283,3.264,0.458,1.469,2.306,15005,110
k1p-100,vsync off,1,full,3000,5.595,7.506,8.611,13.768,34.72,192,13,8,1,3.294,9.21,30.991,1.841,3.78,7.064,2000615,14666.29
k1p-100,vsync off,1,jump,3000,5.495,7.051,7.488,8.376,15.324,60,0,0,0,3.248,5.52,12.331,1.779,3.322,4.348,998638991,110
k1p-150,vsync off,1.5,idle,3000,0.181,0.357,0.851,4.389,6.657,0,0,0,0,0.058,0.359,1.266,0.031,0.175,0.614,0,110
k1p-150,vsync off,1.5,flick,3001,0.916,1.902,2.411,3.651,9.47,1,0,0,0,0.641,2.276,3.226,0.361,1.456,1.865,10450,110
k1p-150,vsync off,1.5,sweep,3001,1.247,2.216,2.725,3.749,10.102,2,0,0,0,0.926,2.594,4.936,0.501,1.571,2.432,15005,110
k1p-150,vsync off,1.5,full,3000,5.716,7.426,7.853,8.996,14.919,123,0,0,0,3.374,5.843,11.419,1.868,3.718,7.646,2000616,14666.3
k1p-150,vsync off,1.5,jump,3000,5.492,7.178,7.658,8.814,11.442,82,0,0,0,3.303,5.865,7.486,1.75,3.587,4.516,998639445,110
k1p600-100,vsync off,1,idle,601,0.215,0.5,1.244,4.645,7.107,0,0,0,0,0.056,0.389,1.26,0.032,0.196,0.661,0,110
k1p600-100,vsync off,1,flick,601,0.9,1.898,2.365,4.216,6.23,0,0,0,0,0.576,2.004,2.454,0.359,1.038,1.631,2058,110
k1p600-100,vsync off,1,sweep,601,1.185,2.088,2.44,3.487,6.1,0,0,0,0,0.847,1.95,2.394,0.452,1.232,1.327,3005,110
k1p600-100,vsync off,1,full,600,5.615,7.587,8.9,14.621,34.453,49,5,1,1,3.402,10.676,29.471,1.8,3.814,12.335,2003282,73331.44
k1p600-100,vsync off,1,jump,600,5.248,7.244,8.78,13.059,21.213,39,2,1,0,3.167,9.169,17.455,1.739,3.727,4.033,202966957,110
k1ab-idletimer-on,vsync off,1,idle,600,5.255,5.669,5.933,6.273,6.824,0,0,0,0,4.953,5.944,6.296,0.08,0.341,0.444,0,110
k1ab-idletimer-on,vsync off,1,flick,600,5.263,6.133,6.439,6.906,7.211,0,0,0,0,3.851,5.169,5.672,0.473,1.23,1.375,2059,110
k1ab-idletimer-on,vsync off,1,sweep,600,5.267,6.224,6.499,7.345,10.37,1,0,0,0,3.624,4.746,10.037,0.542,1.305,1.641,3005,110
k1ab-idletimer-on,vsync off,1,full,600,9.706,11.666,11.986,13.312,22.135,555,1,1,0,7.581,10.366,20.049,1.725,3.401,4.703,2003282,73331.44
k1ab-idletimer-on,vsync off,1,jump,600,9.479,11.354,11.751,12.729,13.377,548,0,0,0,7.451,9.874,10.706,1.671,3.359,3.679,202966957,110
k1ab-idletimer-off,vsync off,1,idle,600,0.208,0.486,0.823,5.891,9.258,1,0,0,0,0.057,0.445,0.72,0.031,0.188,0.359,0,110
k1ab-idletimer-off,vsync off,1,flick,601,0.835,1.851,2.496,4.67,5.956,0,0,0,0,0.59,1.779,2.378,0.319,1.186,1.655,2058,110
k1ab-idletimer-off,vsync off,1,sweep,601,1.08,1.921,2.476,4.776,5.99,0,0,0,0,0.824,2.043,4.579,0.396,1.198,1.701,3005,110
k1ab-idletimer-off,vsync off,1,full,600,5.739,7.432,7.962,8.965,13.521,28,0,0,0,3.506,5.969,8.961,1.851,3.212,4.195,2003282,73331.44
k1ab-idletimer-off,vsync off,1,jump,600,5.236,6.642,7.138,7.725,8.335,2,0,0,0,3.166,5.523,6.446,1.718,3.074,3.366,202966957,110
