run,mode,dpr,phase,frames,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,over_8ms,over_16_7ms,over_20ms,over_33ms,gui_p50_ms,gui_p99_ms,gui_max_ms,render_p50_ms,render_p99_ms,render_max_ms,rows_travelled,step_px
k1v-100,vsync on (swapInterval 1),1,idle,3000,16.671,16.887,17.04,17.42,30.087,3000,1185,2,0,16.504,17.126,29.863,0.106,0.336,0.982,0,110
k1v-100,vsync on (swapInterval 1),1,flick,3001,16.666,16.954,17.131,17.554,31.068,3000,1280,2,0,16.415,17.175,30.868,0.553,1.329,3.649,10424,110
k1v-100,vsync on (swapInterval 1),1,sweep,3001,16.68,17.1,17.342,17.882,28.946,3000,1402,4,0,16.387,17.455,28.834,0.652,1.674,2.327,15005,110
k1v-100,vsync on (swapInterval 1),1,full,3000,16.702,17.502,17.791,18.49,32.681,3000,1507,2,0,3.28,5.715,15.727,1.911,3.579,4.807,2000615,14666.29
k1v-100,vsync on (swapInterval 1),1,jump,3000,16.703,17.566,17.859,18.51,33.041,3000,1505,11,1,3.397,9.008,27.966,1.892,3.771,10.109,998638991,110
k1v-150,vsync on (swapInterval 1),1.5,idle,3001,16.677,16.997,17.177,17.619,33.201,3001,1359,2,2,16.509,17.417,33.14,0.117,0.428,1.168,0,110
k1v-150,vsync on (swapInterval 1),1.5,flick,3001,16.695,17.225,17.45,17.905,34.48,3001,1477,3,2,16.366,17.435,18.202,0.704,1.683,2.79,10450,110
k1v-150,vsync on (swapInterval 1),1.5,sweep,3001,16.694,17.231,17.443,17.847,19.257,3001,1483,0,0,16.366,17.413,18.207,0.781,1.839,3.089,15005,110
k1v-150,vsync on (swapInterval 1),1.5,full,3000,16.716,17.593,17.958,18.826,122.705,3000,1528,8,2,3.393,9.182,119.411,2.248,4.2,6.107,2000616,14666.3
k1v-150,vsync on (swapInterval 1),1.5,jump,3000,16.734,17.71,18.101,19.025,32.756,3000,1542,9,0,3.474,10.162,19.492,2.243,4.363,8.134,998639445,110
k1v600-100,vsync on (swapInterval 1),1,idle,600,16.666,16.846,16.956,17.421,17.613,600,216,0,0,16.542,17.213,17.605,0.093,0.38,0.763,0,110
k1v600-100,vsync on (swapInterval 1),1,flick,600,16.669,17.037,17.231,17.645,34.196,600,257,1,1,16.407,17.475,33.781,0.544,1.324,1.725,2058,110
k1v600-100,vsync on (swapInterval 1),1,sweep,601,16.669,16.897,17.081,17.437,17.901,601,263,0,0,16.424,17.106,17.54,0.57,1.191,1.477,3005,110
k1v600-100,vsync on (swapInterval 1),1,full,600,16.684,17.334,17.594,18.369,23.903,600,285,1,0,3.459,6.366,16.017,1.872,3.57,4.686,2003282,73331.44
k1v600-100,vsync on (swapInterval 1),1,jump,600,16.707,17.659,18.132,19.859,32.475,600,303,4,0,3.726,13.175,27.771,2.014,4.478,5.442,202966957,110
k1v600-150,vsync on (swapInterval 1),1.5,idle,600,16.673,16.913,16.987,17.263,17.523,600,258,0,0,16.508,17.019,17.297,0.118,0.25,0.365,0,110
k1v600-150,vsync on (swapInterval 1),1.5,flick,601,16.686,17.061,17.23,17.505,17.753,601,285,0,0,16.39,17.258,17.412,0.692,1.422,1.495,2059,110
k1v600-150,vsync on (swapInterval 1),1.5,sweep,601,16.674,17.087,17.231,17.413,18.194,601,284,0,0,16.387,17.201,17.94,0.781,1.444,1.703,3005,110
k1v600-150,vsync on (swapInterval 1),1.5,full,600,16.698,17.368,17.647,18.596,26.893,600,297,4,0,3.763,16.375,24.18,2.296,3.59,3.973,2003283,73331.48
k1v600-150,vsync on (swapInterval 1),1.5,jump,600,16.708,17.377,17.575,17.92,18.071,600,305,0,0,3.573,5.814,5.973,2.175,3.307,3.554,202967050,110
