source,run,metric,value_ns
headless,k4-1.txt,applyBatch_p50,900
headless,k4-1.txt,applyBatch_p99,2900
headless,k4-1.txt,applyBatch_max,25800
headless,k4-1.txt,applyBatch_mean,1109
headless,k4-1.txt,cold_window_first_cell_col0_NUMBER,115900
headless,k4-1.txt,warm_per_cell_col0_NUMBER,114.6
headless,k4-1.txt,cold_window_first_cell_col1_VARCHAR2,1300
headless,k4-1.txt,warm_per_cell_col1_VARCHAR2,107.7
headless,k4-1.txt,cold_window_first_cell_col2_DATE,155100
headless,k4-1.txt,warm_per_cell_col2_DATE,120.4
headless,k4-2.txt,applyBatch_p50,900
headless,k4-2.txt,applyBatch_p99,2700
headless,k4-2.txt,applyBatch_max,16100
headless,k4-2.txt,applyBatch_mean,1043
headless,k4-2.txt,cold_window_first_cell_col0_NUMBER,65000
headless,k4-2.txt,warm_per_cell_col0_NUMBER,102.6
headless,k4-2.txt,cold_window_first_cell_col1_VARCHAR2,1200
headless,k4-2.txt,warm_per_cell_col1_VARCHAR2,101.7
headless,k4-2.txt,cold_window_first_cell_col2_DATE,157500
headless,k4-2.txt,warm_per_cell_col2_DATE,112.4
headless,k4-3.txt,applyBatch_p50,900
headless,k4-3.txt,applyBatch_p99,2800
headless,k4-3.txt,applyBatch_max,19500
headless,k4-3.txt,applyBatch_mean,1075
headless,k4-3.txt,cold_window_first_cell_col0_NUMBER,68200
headless,k4-3.txt,warm_per_cell_col0_NUMBER,108.1
headless,k4-3.txt,cold_window_first_cell_col1_VARCHAR2,1200
headless,k4-3.txt,warm_per_cell_col1_VARCHAR2,99.7
headless,k4-3.txt,cold_window_first_cell_col2_DATE,191300
headless,k4-3.txt,warm_per_cell_col2_DATE,114.6
in-app,k1-100-novsync,applyBatch_p50,2100
in-app,k1-100-novsync,applyBatch_p90,3900
in-app,k1-100-novsync,applyBatch_p99,15200
in-app,k1-100-novsync,applyBatch_max,90900
in-app,k1-100-novsync,applyBatch_mean,3351
in-app,k1-150-novsync,applyBatch_p50,2100
in-app,k1-150-novsync,applyBatch_p90,3800
in-app,k1-150-novsync,applyBatch_p99,15500
in-app,k1-150-novsync,applyBatch_max,20200
in-app,k1-150-novsync,applyBatch_mean,3250
in-app,k3-app-1,applyBatch_p50,2800
in-app,k3-app-1,applyBatch_p90,10300
in-app,k3-app-1,applyBatch_p99,16800
in-app,k3-app-1,applyBatch_max,170600
in-app,k3-app-1,applyBatch_mean,4000
in-app,k3-app-2,applyBatch_p50,2600
in-app,k3-app-2,applyBatch_p90,4300
in-app,k3-app-2,applyBatch_p99,16200
in-app,k3-app-2,applyBatch_max,25000
in-app,k3-app-2,applyBatch_mean,3624
in-app,k3-app-3,applyBatch_p50,2900
in-app,k3-app-3,applyBatch_p90,4300
in-app,k3-app-3,applyBatch_p99,17500
in-app,k3-app-3,applyBatch_max,24200
in-app,k3-app-3,applyBatch_mean,3804
