run,scope,drains,events,drain_p50_us,drain_p99_us,drain_max_us,boundary_p50_us,boundary_p99_us,boundary_max_us,applybatch_n,applybatch_p50_us,applybatch_p99_us,applybatch_max_us
k1v-100,1M stream (no scrolling),826,1004,102.2,881.5,2671.7,0.6,4.6,29.9,1000,5.3,79.8,257.9
k1v-150,1M stream (no scrolling),863,1004,80.0,563.5,1473.5,0.5,4.2,104.8,1000,4.2,57.9,177.1
k1v600-100,1M stream (no scrolling),859,1004,83.8,445.3,2952.6,0.5,4.0,11.8,1000,4.5,65.0,216.5
k1v600-150,1M stream (no scrolling),865,1004,91.9,667.9,4124.2,0.5,4.8,31.8,1000,5.3,62.3,195.0
k1p-100,1M stream (no scrolling),503,1004,240.4,846.6,2171.0,1.8,5.8,203.2,1000,16.9,211.6,368.0
k1p-150,1M stream (no scrolling),502,1004,244.1,912.2,2686.2,2.0,7.1,27.0,1000,16.2,228.3,791.4
k1p600-100,1M stream (no scrolling),503,1004,196.3,465.9,2539.8,1.4,3.2,4.7,1000,9.7,137.7,207.5
b7-vsync,1M stream (no scrolling),855,1004,98.0,762.3,1900.9,0.5,4.1,5.7,1000,5.2,69.3,289.6
b7-vsync,phase streamscroll,508,1004,249.5,791.0,1155.0,2.0,5.7,131.8,1000,8.5,30.7,137.8
b7-prod,1M stream (no scrolling),503,1004,235.7,710.5,5705.2,2.0,6.2,78.3,1000,15.8,220.6,382.1
b7-prod,phase streamscroll,502,1004,201.2,576.4,987.1,1.8,4.1,13.3,1000,6.1,26.3,397.1
