run,mode,dpr,phase,frames,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,over_8ms,over_16_7ms,over_20ms,over_33ms,gui_p50_ms,gui_p99_ms,gui_max_ms,render_p50_ms,render_p99_ms,render_max_ms,rows_travelled,step_px
k6-1,K6 / while streaming,1,sweep,600,16.676,17.131,17.276,17.663,17.869,600,281,0,0,16.375,17.225,17.522,0.781,1.514,1.891,3005,110
k6-1,K6 / while streaming,1,streambase,601,16.695,17.15,17.377,17.81,20.538,601,294,1,0,16.401,17.467,17.879,0.786,1.938,2.144,3005,110
k6-1,K6 / while streaming,1,streamblocked,601,16.698,17.18,17.45,17.843,18.413,601,296,0,0,16.398,17.502,18.162,0.801,1.941,2.76,3005,110
k6-1,K6 / while streaming,1,blockother,601,16.671,17.187,17.502,17.915,21.72,601,276,1,0,16.336,17.496,17.895,0.819,1.945,2.174,3005,110
k6-1,K6 / while streaming,1,blocksame,601,16.674,16.881,17.003,17.26,17.566,601,247,0,0,16.484,17.071,17.375,0.097,0.385,0.901,0,110
k6-2,K6 / while streaming,1,sweep,601,16.656,16.989,17.086,17.284,17.673,601,254,0,0,16.393,17.113,17.398,0.646,1.226,1.352,3005,110
k6-2,K6 / while streaming,1,streambase,601,16.673,16.986,17.162,17.461,33.286,601,264,1,1,16.432,17.258,33.099,0.608,1.301,1.412,3005,110
k6-2,K6 / while streaming,1,streamblocked,601,16.673,16.954,17.071,17.277,17.577,601,269,0,0,16.443,17.105,17.269,0.61,1.29,1.48,3005,110
k6-2,K6 / while streaming,1,blockother,601,16.669,16.956,17.039,17.282,17.614,601,260,0,0,16.373,17.025,17.254,0.694,1.261,1.714,3005,110
k6-2,K6 / while streaming,1,blocksame,601,16.672,16.82,16.894,17.164,17.324,601,230,0,0,16.457,17.009,17.239,0.085,0.233,0.387,0,110
k6-3,K6 / while streaming,1,sweep,601,16.685,17.201,17.443,17.919,21.217,601,283,1,0,16.321,17.358,17.602,0.839,1.898,3.983,3005,110
k6-3,K6 / while streaming,1,streambase,601,16.676,17.095,17.248,17.565,18.212,601,277,0,0,16.369,17.182,18.133,0.822,1.688,2.034,3005,110
k6-3,K6 / while streaming,1,streamblocked,601,16.671,17.019,17.137,17.561,18.738,601,266,0,0,16.396,17.182,17.696,0.769,1.53,2.322,3005,110
k6-3,K6 / while streaming,1,blockother,600,16.682,17.073,17.273,17.595,18.145,600,282,0,0,16.378,17.146,17.357,0.784,1.539,1.719,3005,110
k6-3,K6 / while streaming,1,blocksame,600,16.672,16.951,17.097,17.459,17.801,600,251,0,0,16.457,17.285,17.741,0.101,0.462,0.74,0,110
b7-vsync,K6 / while streaming,1,sweep,601,16.685,17.133,17.293,17.619,17.851,601,284,0,0,16.387,17.306,17.568,0.68,1.701,1.909,3005,110
b7-vsync,K6 / while streaming,1,streamscroll,601,16.679,17.352,17.559,18.219,49.526,600,288,2,2,3.937,16.977,46.104,1.475,2.988,3.487,3005,110
b7-vsync,K6 / while streaming,1,sweep,601,16.667,16.98,17.1,17.506,18.255,601,264,0,0,16.399,17.202,17.94,0.624,1.51,1.807,3005,110
b7-prod,K6 / while streaming,1,sweep,3001,1.113,1.717,1.978,2.447,3.581,0,0,0,0,0.858,1.958,2.643,0.415,1.083,1.646,15005,110
b7-prod,K6 / while streaming,1,streamscroll,3001,1.26,5.599,6.45,7.58,13.024,16,0,0,0,0.954,4.755,10.336,0.466,2.143,3.756,15005,110
b7-prod,K6 / while streaming,1,sweep,3001,1.141,1.836,2.103,2.759,9.827,2,0,0,0,0.869,2.07,4.23,0.427,1.131,7.104,15005,110
