label,run_index,rows_ms,first_frame_ms
baseline,1,350.783,898.952
baseline,2,190.211,589.440
baseline,3,184.192,568.796
baseline,4,194.282,626.513
baseline,5,186.801,573.662
baseline,6,185.200,578.709
baseline,7,182.801,573.121
baseline,8,2.082,393.489
baseline,9,220.396,619.920
baseline,10,2.056,389.562
baseline,11,2.175,403.788
baseline,12,196.780,588.678
renderloop-basic,1,194.157,577.786
renderloop-basic,2,203.133,596.075
renderloop-basic,3,183.293,563.162
renderloop-basic,4,197.099,593.477
renderloop-basic,5,211.197,623.145
renderloop-basic,6,197.258,641.149
renderloop-basic,7,201.247,596.222
renderloop-basic,8,195.496,572.416
