run_index,rows_ms,first_frame_ms
2,1.667,16.097
3,1.425,16.451
4,0.831,16.161
5,1.238,16.140
6,1.123,15.486
7,1.145,16.386
8,1.110,15.965
9,1.559,16.540
10,1.163,16.264
11,0.948,15.973
12,1.283,16.493
13,1.475,16.338
14,1.541,16.617
15,1.232,16.149
16,1.401,16.377
17,1.033,16.410
18,0.980,16.264
19,1.486,16.378
20,1.056,16.347
21,1.412,16.472
22,1.356,16.448
23,1.056,15.833
24,1.232,16.544
25,1.376,16.452
26,1.484,16.054
27,1.150,16.406
28,1.445,16.410
29,1.483,16.527
30,1.298,16.383
31,0.929,16.607
