fetch_rows,fetches_in_flight,stream_ms,batches,rss_b_per_row,private_b_per_row,applyBatch_p50_ns,applyBatch_p99_ns,applyBatch_max_ns
100,1,713,10000,137.1,140.1,600,2600,76600
100,2,521,10000,137.0,139.8,600,2600,84700
100,4,521,10000,137.2,140.2,600,2600,95100
100,8,514,10000,137.2,140.1,500,2500,73200
1000,1,484,1000,116.7,118.6,800,2800,16100
1000,2,472,1000,116.8,118.9,900,2900,17000
1000,4,464,1000,114.1,115.3,900,2700,17000
1000,8,473,1000,115.8,117.2,900,2900,18300
10000,1,484,100,124.0,146.2,2600,26100,26100
10000,2,474,100,123.2,146.1,2100,18500,18500
10000,4,469,100,124.3,146.3,2400,19100,19100
10000,8,464,100,125.5,147.4,2700,17000,17000
50000,1,579,20,115.1,127.7,7400,25900,25900
50000,2,579,20,114.8,127.0,7800,25800,25800
50000,4,590,20,114.1,126.7,7400,25100,25100
50000,8,593,20,114.6,127.7,7100,23300,23300
